q400,S_q400,q500,S_q500,q600,S_q600,q700,S_q700,q800,S_q800
4.700259429001019,0.00937903950182314,3.760207543200815,0.008988229683716261,3.1335062860006793,0.008783935007149107,2.685862530857725,0.008663376034753914,2.3501297145005093,0.008586163421019774
4.765226913182998,0.009410076859568376,3.812181530546398,0.009007115038044746,3.1768179421219984,0.008796697074981078,2.722986807533142,0.008672599899454396,2.382613456591499,0.008593150917879707
4.83018261684051,0.009441657328837621,3.864146093472408,0.009026303524421712,3.22012174456034,0.008809654095676035,2.7601043524802917,0.008681960390060238,2.415091308420255,0.008600239822160544
4.895126379391012,0.009473786128957771,3.91610110351281,0.009045797005770663,3.263417586260675,0.008822806879233066,2.7972150739377217,0.00869145790422909,2.447563189695506,0.008607430345130743
4.960058040281483,0.009506468585737348,3.9680464322251865,0.009065597377888248,3.3067053601876557,0.00883615624871739,2.834318880160848,0.008701092845659779,2.4800290201407416,0.008614722701138196
5.024977438988816,0.00953971013314267,4.019981951191053,0.009085706569778272,3.3499849593258775,0.008849703040348803,2.8714156794221806,0.00871086562412377,2.512488719494408,0.008622117107612818
5.089884415020221,0.009573516315013816,4.071907532016177,0.009106126543992388,3.3932562766801477,0.008863448103591501,2.9085053800115555,0.008720776655489131,2.5449422075101107,0.008629613785079643
5.154778807913619,0.00960789278682176,4.123823046330895,0.009126859296978679,3.4365192052757463,0.008877392301244512,2.945587890236354,0.008730826361745955,2.5773894039568095,0.008637212957170121
5.219660457238039,0.009642845317467327,4.175728365790431,0.009147906859435036,3.479773638158693,0.00889153650953363,2.982663118421737,0.008741015171038983,2.6098302286190194,0.008644914850617769
5.284529202594011,0.00967837979112312,4.227623362075209,0.009169271296671291,3.523019468396008,0.00890588161820661,3.019730972910864,0.008751343517692417,2.6422646012970055,0.008652719695286845
5.349384883613973,0.009714502209118873,4.279507906891179,0.009190954708976896,3.5662565890759823,0.008920428530626212,3.0567913620651277,0.008761811842241292,2.6746924418069864,0.00866062772416347
5.414227339962655,0.00975121869187162,4.331381871970124,0.009212959231996058,3.6094848933084367,0.008935178163870024,3.0938441942643746,0.00877242059145606,2.7071136699813274,0.008668639173375696
5.4790564113374804,0.009788535480862122,4.3832451290699845,0.009235287037110603,3.652704274224987,0.008950131448827134,3.130889377907132,0.008783170218375994,2.7395282056687402,0.00867675428219645
5.543871937468966,0.009826458940657107,4.435097549975173,0.009257940331829438,3.6959146249793107,0.008965289330299114,3.167926821410838,0.008794061182338577,2.771935968734483,0.008684973293058203
5.608673758121115,0.009864995560980161,4.486939006496892,0.00928092136018499,3.7391158387474106,0.008980652767101695,3.2049564332120664,0.008805093949008257,2.8043368790605574,0.008693296451557165
5.673461713091809,0.009904151958831212,4.538769370473448,0.009304232403138522,3.7823078087278734,0.008996222732167838,3.2419781217667487,0.008816268990408223,2.8367308565459046,0.008701724006466039
5.738235642213213,0.00994393488065596,4.59058851377057,0.009327875778991784,3.825490428142142,0.009012000212654008,3.2789917955504078,0.00882758678495206,2.8691178211066064,0.0087102562097411
5.802995385352161,0.009984351204566847,4.642396308281729,0.009351853843806593,3.868663590234774,0.009027986210045642,3.315997363058378,0.008839047817473857,2.9014976926760805,0.008718893316536913
5.867740782410565,0.010025407942616048,4.694192625928452,0.009376168991832487,3.9118271882737106,0.009044181740266402,3.3529947328060374,0.008850652579262286,2.9338703912052826,0.008727635585211342
5.932471673325795,0.010067112243122232,4.745977338660636,0.00940082365594279,3.9549811155505306,0.00906058783378811,3.3899838133290263,0.00886240156809089,2.9662358366628974,0.008736483277337292
5.99718789807109,0.010109471393052277,4.797750318456872,0.00942582030807734,3.998125265380727,0.009077205535742879,3.4269645131834805,0.008874295288253252,2.998593949035545,0.008745436657712614
6.061889296655939,0.010152492820458915,4.849511437324751,0.009451161459694933,4.041259531103959,0.00909403590603613,3.463936740946251,0.008886334250594796,3.0309446483279694,0.008754495994371322
6.126575709126493,0.010196184096976035,4.901260567301195,0.009476849662233075,4.08438380608433,0.009111080019463215,3.50090040521514,0.008898518972547719,3.0632878545632467,0.00876366155859337
6.191246975565943,0.010240552940372865,4.952997580452755,0.009502887507576788,4.127497983710629,0.009128338965825029,3.537855414609111,0.00891084997816392,3.0956234877829716,0.008772933624913775
6.25590293609493,0.010285607217168093,5.004722348875944,0.009529277628535613,4.17060195739662,0.009145813850048274,3.574801677768532,0.008923327798151531,3.127951468047465,0.008782312471136741
6.320543430871928,0.010331354945306114,5.056434744697543,0.009556022699329411,4.213695620581286,0.009163505792305843,3.6117391033553883,0.00893595296990891,3.160271715435964,0.008791798378342618
6.385168300093653,0.010377804296896031,5.108134640074923,0.009583125436083396,4.256778866729102,0.009181415928138863,3.6486676000535163,0.00894872603756111,3.1925841500468266,0.008801391630900436
6.449777383995443,0.010424963601015748,5.1598219071963545,0.009610588597331673,4.299851589330296,0.009199545408582031,3.685587076568825,0.008961647551995026,3.2248886919977213,0.008811092516479657
6.514370522851663,0.010472841346581914,5.211496418281331,0.009638414984530306,4.342913681901109,0.009217895400289722,3.7224974416295225,0.008974718070896821,3.2571852614258314,0.008820901326060596
