qd,s_data
8.100999999999999,1.061586254855903
8.201,0.9267752492679938
8.301,0.8214995338242261
8.401,0.7382088518417727
8.501,0.6715680209715608
8.600999999999999,0.6177571453242455
8.701,0.5740023030117242
8.801,0.5382611083337089
8.901,0.5090104676889747
9.001,0.48510169552182536
9.100999999999999,0.46566034412483875
9.201,0.45001604453367783
9.301,0.4376527542387563
9.401,0.4281730760854816
9.501,0.42127242059049974
9.601,0.4167201561139494
9.701,0.41434579470175814
9.801,0.41402886319597776
9.901,0.41569151471755034
10.001,0.41929321161880473
10.101,0.42482700008175284
10.201,0.4323170259583336
10.301,0.44181702852745985
10.401,0.45340960425883486
10.501,0.4672060624445406
10.601,0.48334670118763584
10.701,0.5020013152997546
10.801,0.5233697040554179
10.901,0.5476818707624729
11.001,0.5751974894850369
11.101,0.6062040466283315
11.201,0.6410128352683155
11.301,0.6799516791603745
11.401,0.7233528910483553
11.501,0.771534546588829
11.601,0.8247727421185262
11.701,0.8832622345585075
11.801,0.947062980204171
11.901,1.0160309933545313
12.001,1.0897341934657987
12.101,1.1673581319008977
12.201,1.2476131092319944
12.301,1.328662855160889
12.401,1.4081036884719942
12.501,1.4830276732633512
12.601,1.5501976432855293
12.701,1.606340750912566
12.801,1.6485308006051274
12.901,1.6745887098395995
13.001,1.6834047826040108
13.101,1.6750947539500165
13.201,1.6509469358082907
13.301,1.6131817596145206
13.401,1.564597572951627
13.501,1.50819572751612
13.601,1.4468622364115606
13.701,1.3831479428792315
13.801,1.319153375689874
13.901,1.2565004125123127
14.001,1.196363087762795
14.101,1.1395307250107118
14.201,1.086482742975362
14.301,1.0374618116714862
14.401,0.9925382574601153
14.501,0.9516629923114601
14.601,0.9147088867354586
14.701,0.8815018531759614
14.801,0.851843416352514
14.901,0.825526581538803
15.001,0.8023466158390248
15.101,0.782108078230951
15.201,0.7646291503432899
15.301,0.7497440679510776
15.401,0.7373042452330923
15.501,0.7271785198601305
15.601,0.7192528215016089
15.701,0.713429472223444
15.801,0.709626257543
15.901,0.7077753555735129
16.001,0.7078221738286014
16.101000000000003,0.7097241150461513
16.201,0.7134492719441914
16.301000000000002,0.7189750340266547
16.401000000000003,0.7262865759372388
16.501,0.7353751854731017
16.601000000000003,0.746236379753877
16.701,0.7588677501967246
16.801000000000002,0.7732664713643772
16.901000000000003,0.7894264064624901
17.001,0.8073347449121525
17.101000000000003,0.8269681173381477
17.201,0.8482881535137482
17.301000000000002,0.8712364829097318
17.401000000000003,0.8957292294393561
17.501,0.9216511254104752
17.601000000000003,0.948849466906465
17.701,0.9771282532681793
17.801000000000002,1.006242991583356
17.901000000000003,1.0358967904446699
18.001,1.0657384938505163
18.101000000000003,1.095363684234877
18.201,1.1243193735292556
18.301000000000002,1.1521130612571966
18.401000000000003,1.1782265361901487
18.501,1.2021343238689994
18.601000000000003,1.2233260658489264
18.701,1.2413314356312504
18.801000000000002,1.2557455736332102
18.901000000000003,1.2662526057675823
19.001,1.272644729894419
19.101000000000003,1.2748346858332535
19.201000000000004,1.2728601492060747
19.301000000000002,1.2668795878358174
19.401000000000003,1.2571601981578595
19.501,1.2440594837728085
19.601000000000003,1.2280026747123403
19.701000000000004,1.209458425298817
19.801000000000002,1.188915080929937
19.901000000000003,1.1668593610154543
20.001,1.1437587005455698
20.101000000000003,1.1200478612498208
20.201000000000004,1.0961198698668393
20.301000000000002,1.072320926416259
20.401000000000003,1.0489486674559085
20.501,1.0262530541537347
20.601000000000003,1.0044391508223014
20.701000000000004,0.9836711291858199
20.801000000000002,0.9640769430340345
20.901000000000003,0.9457532405051448
21.001,0.9287701990570875
21.101000000000003,0.9131760709472335
21.201000000000004,0.8990013103555797
21.301000000000002,0.8862622167327986
21.401000000000003,0.8749640744171043
21.501,0.8651037990017989
21.601000000000003,0.8566721195663392
21.701000000000004,0.8496553357121829
21.801000000000002,0.8440366919354244
21.901000000000003,0.8397974112797053
22.001,0.836917427021845
22.101000000000003,0.8353758465126407
22.201000000000004,0.83515117606231
22.301000000000002,0.836221330514077
22.401000000000003,0.8385634463090601
22.501,0.8421535127182103
22.601000000000003,0.846965832746429
22.701000000000004,0.8529723232155313
22.801000000000002,0.8601416629172013
22.901000000000003,0.8684382987116647
23.001,0.8778213222568447
23.101000000000003,0.888243234902751
23.201000000000004,0.8996486253570352
23.301000000000002,0.9119727941162712
23.401000000000003,0.9251403703105013
23.501,0.9390639802397164
23.601000000000003,0.9536430418752995
23.701000000000004,0.9687627749156893
23.801000000000002,0.9842935300777838
23.901000000000003,1.0000905520910686
24.001,1.0159942957724566
24.101000000000003,1.0318314107175999
24.201000000000004,1.0474164946880964
24.301000000000002,1.0625546863543138
24.401000000000003,1.0770451234621063
24.501,1.090685233341442
24.601000000000003,1.1032757519864036
24.701000000000004,1.1146262914384875
24.801000000000002,1.1245612011556043
24.901000000000003,1.1329254074312
25.001,1.1395898760216707
25.101000000000003,1.1444563356466657
25.201000000000004,1.1474609291120126
25.301000000000002,1.1485765245584938
25.401000000000003,1.1478135161225724
25.501,1.1452190602716827
25.601000000000003,1.1408748169219438
25.701000000000004,1.1348933778732229
25.801000000000002,1.1274136556025587
25.901000000000003,1.118595563620487
26.001,1.1086143413976428
