theta_a,p_theta,prob
1.0041764093137715,1.4655342623058134,0.004613343051880842
1.0073242977442223,1.4589705959059618,0.004592681341295532
1.0104721861746728,1.4520371892748047,0.004570855728527266
1.0136200746051236,1.44472927751784,0.004547851214204477
1.0167679630355744,1.4370422744650933,0.004523653361561046
1.019915851466025,1.4289717889912836,0.004498248347810411
1.0230637398964757,1.4205136419961244,0.00447162301759772
1.0262116283269263,1.4116638840475773,0.004443764938538879
1.029359516757377,1.4024188136885263,0.004414662458847976
1.0325074051878278,1.3927749964047644,0.004384304767046454
1.0356552936182783,1.3827292842492804,0.004352681953738233
1.0388031820487291,1.3722788361146603,0.004319785075425039
1.04195107047918,1.3614211386419255,0.004285606220325156
1.0450989589096304,1.350154027750282,0.004250138576146743
1.0482468473400812,1.3384757107680674,0.004213376499753663
1.051394735770532,1.3263847891406235,0.0041753155886474005
1.0545426242009825,1.3138802816858701,0.004135952754173087
1.0576905126314333,1.3009616483629696,0.0040952862963406856
1.060838401061884,1.2876288145137293,0.004053315980134295
1.0639862894923346,1.273882195530107,0.004010043113162786
1.0671341779227854,1.259722721894522,0.003965470624483988
1.070282066353236,1.2451518645325597,0.0039196031444122545
1.0734299547836867,1.2301716604099353,0.0038724470850949287
1.0765778432141375,1.2147847382975774,0.00382401072161804
1.079725731644588,1.1989943446199967,0.003774304273374165
1.0828736200750388,1.1828043692930597,0.003723339985396937
1.0860215085054896,1.1662193714476992,0.0036711322093365053
1.0891693969359402,1.1492446049260254,0.0036176974837185227
1.092317285366391,1.1318860434257922,0.0035630546130962074
1.0954651737968417,1.1141504051582292,0.0035072247456705216
1.0986130622272923,1.0960451768728683,0.003450231448917725
1.101760950657743,1.0775786370912668,0.0033921007827266156
1.1049088390881938,1.0587598783795116,0.003332861369509962
1.1080567275186444,1.0395988284770077,0.0032725444607156367
1.1112046159490951,1.020106270086636,0.003211183999123891
1.1143525043795457,1.0002938591187214,0.0031488166762773896
1.1175003928099965,0.9801741411686411,0.0030854819843509334
1.1206482812404472,0.9597605659954794,0.0030212222617286987
1.1237961696708978,0.9390674997568224,0.002956082731518044
1.1269440581013486,0.9181102347430259,0.0028901115321919323
1.1300919465317993,0.8969049963430225,0.0028233597395165323
1.13323983496225,0.87546894696321,0.0027558813788874604
1.1363877233927007,0.8538201866115586,0.0026877334271684828
1.1395356118231514,0.8319777498507568,0.0026189758031003496
1.142683500253602,0.8099615988174882,0.0025496713453262367
1.1458313886840528,0.7877926119999502,0.0024798857770645883
1.1489792771145035,0.7654925684629086,0.0024096876564512993
1.152127165544954,0.7430841272090936,0.002339148311571626
1.1552750539754049,0.720590801368226,0.0022683417592100374
1.1584229424058554,0.6980369269105302,0.0021973446063637456
1.1615708308363062,0.6754476255907862,0.002126235933594594
1.164718719266757,0.6528487618423082,0.002055097159335977
1.1678666076972075,0.6302668933579152,0.0019840118843270855
1.1710144961276583,0.607729215117687,0.0019130657154183528
1.174162384558109,0.5852634966514386,0.00184234606808052
1.1773102729885596,0.562898012357699,0.0017719419470563313
1.1804581614190104,0.5406614647413247,0.0017019437047208605
1.1836060498494612,0.5185829004788293,0.001632442776864263
1.1867539382799117,0.49669161927453637,0.0015635313957808228
1.1899018267103625,0.4750170755322296,0.00149530228074196
1.1930497151408133,0.45358877293618727,0.001427848306148752
1.1961976035712638,0.43243615211254116,0.0013612621479020643
1.1993454920017146,0.4115884716270269,0.0012956359087963627
1.2024933804321651,0.3910746826681671,0.001231060724035955
1.205641268862616,0.37092329786557915,0.001167626348289237
1.2087891572930667,0.3511622548011996,0.0011054207260368177
1.2119370457235172,0.331818774885919,0.0010445295473304579
1.215084934153968,0.3129192183948339,0.0009850357914597521
1.2182328225844188,0.2944889365798609,0.0009270192614186624
1.2213807110148693,0.2765521219073787,0.0008705561124698437
1.22452859944532,0.25913165759933504,0.000815718378516353
1.2276764878757709,0.24224896778673033,0.0007625735004010524
1.2308243763062214,0.22592386971214864,0.0007111838606561926
1.2339722647366722,0.2101744295404376,0.0006616063296110571
1.237120153167123,0.19501682345048477,0.0006138918281239272
1.2402680415975735,0.18046520578279904,0.0005680849125249549
1.2434159300280243,0.16653158610360075,0.0005242233876272407
1.2465638184584749,0.1532257171120258,0.0004823379538708582
1.2497117068889256,0.14055499535857088,0.0004424518947952779
1.2528595953193764,0.12852437675554584,0.00040458081107542663
1.256007483749827,0.11713630883927839,0.000368732407290448
1.2591553721802777,0.10639068168474931,0.0003349063374082931
1.2623032606107285,0.0962847992717817,0.0003030941146495867
1.265451149041179,0.0868133729539319,0.0002732790909284041
1.2685990374716298,0.07796853848358633,0.00024543651044543047
1.2717469259020806,0.06973989779692609,0.00021953364122250231
1.2748948143325312,0.06211458645903878,0.00019552998741251038
1.278042702762982,0.05507736731263718,0.00017337758409541882
1.2811905911934327,0.04861075046524297,0.00015302137498491734
1.2843384796238833,0.042695139292970745,0.0001343996720325124
1.287486368054334,0.03730900164011791,0.00011744469434528495
1.2906342564847846,0.032429064860814885,0.00010208318215587042
1.2937821449152354,0.028030532792849075,8.823707983254525e-05
1.2969300333456861,0.02408732218789004,7.582428013595611e-05
1.3000779217761367,0.020572315562582027,6.475942016695998e-05
1.3032258102065875,0.017457626899713453,5.495471776511442e-05
1.3063736986370382,0.01471487613812796,4.632083557317358e-05
