wvls,R,T
747,0.5308624518849864,0.36337404114116656
748,0.5285487429847737,0.3655876485196388
749,0.5273776106001928,0.3666478878455096
750,0.5260534102305199,0.3677322058381417
751,0.5249040263424478,0.3687104998651447
752,0.5234215014262569,0.37002284482483283
753,0.5226790695905064,0.3705796610986267
754,0.521451408191786,0.3717009116810169
755,0.5203890235184568,0.37260033800119585
756,0.5185749447631884,0.3743198716080502
757,0.5172102610465503,0.37564511197185996
758,0.5159193678866695,0.37702423440309024
759,0.5147008552923918,0.37815038117480493
760,0.5140852807946381,0.37866148725846155
761,0.5124383931802583,0.3802265215110244
762,0.511166576605863,0.38142095657216496
763,0.5099177238432471,0.38254437420503623
764,0.5082665210150596,0.38406088342021616
765,0.5077877397187234,0.3842955555081662
766,0.5073414108033584,0.3845618474331214
767,0.5061884136919252,0.3855230304664918
768,0.5054337756948029,0.3860873946736735
769,0.5053759169228165,0.3858915084999165
770,0.5046402407824429,0.38642355466845957
771,0.5033965988506964,0.38752312635894903
772,0.5026837179787077,0.3882246630646806
773,0.5017490569697843,0.3890215348495029
774,0.5000287148997431,0.3907824607755187
775,0.49956639958892657,0.3910202402653511
776,0.49841700748320633,0.3919494260513469
777,0.4978362188971518,0.39237179005514106
778,0.49649435251789675,0.39358095234810353
779,0.495318838948566,0.39470496628937934
780,0.4938435511936672,0.3959970341537087
781,0.49294936793469063,0.3967549356752016
782,0.49150712064574886,0.3981610031935343
783,0.491595140856418,0.3977788265790968
784,0.4903817979535896,0.3989177485471155
785,0.4888226921886778,0.4002798667461131
786,0.48779984415028554,0.40108360554197964
787,0.48663346359747583,0.40217787013602235
788,0.486162460102734,0.40260610671627156
789,0.48500253154414236,0.40348087930887344
790,0.48347794685382334,0.4049173950452276
791,0.482664680903124,0.40564245627587575
792,0.48193104305886303,0.4062513034881514
793,0.4814880755290067,0.4063972253782501
794,0.48077406611611306,0.4069971597318681
795,0.4793203302680473,0.4082379125252532
796,0.4782000381014415,0.4092404785480507
797,0.476587722715166,0.4107681340240378
798,0.47630798820551057,0.41085128098776963
799,0.475571769986963,0.41133300437355846
