theta_a,prob
0.18887330462463686,0.0007528407623991961
0.19202119303504747,0.0007660337606422092
0.1951690814454581,0.0007792589140307418
0.19831696985586872,0.0007925167588618287
0.20146485826627933,0.0008058078316106065
0.20461274667668994,0.0008191326689097164
0.20776063508710055,0.0008324918075273722
0.21090852349751119,0.00084588578434406
0.2140564119079218,0.0008593151363278168
0.2172043003183324,0.0008727804005080647
0.22035218872874301,0.0008862821139479414
0.22350007713915362,0.0008998208137150966
0.22664796554956423,0.0009133970368509038
0.22979585395997487,0.0009270113203380456
0.23294374237038548,0.0009406642010664238
0.2360916307807961,0.0009543562157973495
0.2392395191912067,0.0009680879011259621
0.2423874076016173,0.00098185979344183
0.24553529601202792,0.0009956724288876782
0.24868318442243856,0.0010095263433161947
0.25183107283284917,0.001023422072244859
0.25497896124325975,0.0010373601508087411
0.2581268496536704,0.0010513411137112064
0.261274738064081,0.0010653654951724787
0.2644226264744916,0.0010794338288760007
0.26757051488490224,0.0010935466479125172
0.2707184032953128,0.0011077044847218399
0.27386629170572346,0.001121907871032216
0.2770141801161341,0.0011361573377972347
0.2801620685265447,0.0011504534151302117
0.2833099569369553,0.0011647966322359793
0.2864578453473659,0.0011791875173400052
0.28960573375777654,0.0011936265976147831
0.2927536221681871,0.0012081143991034004
0.29590151057859776,0.0012226514466402235
0.2990493989890084,0.0012372382637686147
0.302197287399419,0.0012518753726556001
0.3053451758098296,0.0012665632940034143
0.3084930642202402,0.0012813025469578224
0.31164095263065084,0.0012960936490131513
0.3147888410410615,0.0013109371159139283
0.31793672945147206,0.0013258334615530373
0.3210846178618827,0.0013407831978663144
0.3242325062722933,0.0013557868347234615
0.3273803946827039,0.0013708448798152074
0.33052828309311455,0.0013859578385365954
0.33367617150352513,0.0014011262138663068
0.33682405991393577,0.0014163505062419093
0.33997194832434635,0.00143163121343093
0.343119836734757,0.0014469688303976273
0.34626772514516757,0.0014623638491653654
0.3494156135555782,0.0014778167586744684
0.35256350196598885,0.0014933280446354283
0.35571139037639943,0.001508898189377358
0.35885927878681007,0.0015245276716915575
0.36200716719722065,0.001540216966670058
0.3651550556076313,0.0015559665455390339
0.3683029440180419,0.0015717768754869232
0.3714508324284525,0.001587648419487136
0.37459872083886314,0.001603581636115209
0.3777466092492737,0.0016195769793602493
0.38089449765968436,0.001635634898430535
0.38404238607009494,0.0016517558375531132
0.3871902744805056,0.0016679402357672392
0.3903381628909162,0.0016841885267115067
0.3934860513013268,0.001700501138404492
0.39663393971173744,0.001716878493018764
0.399781828122148,0.0017333210066480741
0.40292971653255866,0.0017498290890675628
0.4060776049429693,0.0017664031434867907
0.4092254933533799,0.0017830435662954326
0.4123733817637905,0.001799750746801426
0.4155212701742011,0.0018165250669613952
0.41866915858461173,0.0018333669011031536
0.42181704699502237,0.0018502766156400805
0.42496493540543295,0.00186725456877717
0.4281128238158436,0.0018843011102085418
0.4312607122262542,0.001901416580806199
0.4344086006366648,0.0019186013122998184
0.4375564890470754,0.001935855626947337
0.44070437745748603,0.0019531798371961195
0.44385226586789667,0.0019705742453344642
0.44700015427830725,0.0019880391431332098
0.4501480426887179,0.002005574811477195
0.45329593109912847,0.002023181519986324
0.4564438195095391,0.0020408595266259897
0.45959170791994974,0.0020586090773065677
0.4627395963303603,0.002076430405471741
0.46588748474077096,0.002094323731675379
0.46903537315118154,0.002112289263146667
0.4721832615615922,0.002130327193343233
0.47533114997200276,0.002148437701491964
0.4784790383824134,0.0021666209521172194
0.48162692679282404,0.0021848770945561338
0.4847748152032346,0.0022032062624607086
0.48792270361364526,0.0022216085732863697
0.49107059202405584,0.0022400841277666716
0.4942184804344665,0.0022586330093738224
0.4973663688448771,0.0022772552837646894
0.5005142572552878,0.0022959509982119464
0.5036621456656983,0.0023147201810200194
0.5068100340761089,0.0023335628409254677
0.5099579224865195,0.0023524789664814416
0.5131058108969302,0.002371468525425857
0.5162536993073408,0.0023905314640328976
0.5194015877177514,0.0024096677064474707
0.522549476128162,0.002428877154002236
0.5256973645385726,0.0024481596845167897
0.5288452529489832,0.0024675151515786272
0.5319931413593939,0.0024869433838054576
0.5351410297698045,0.002506444184088463
0.5382889181802151,0.002526017328816069
0.5414368065906257,0.002545662567077816
0.5445846950010363,0.002565379619847876
0.5477325834114469,0.002585168179147778
0.5508804718218575,0.002605027907187898
0.5540283602322682,0.0026249584354872523
0.5571762486426788,0.002644959363971132
0.5603241370530894,0.002665030260046105
0.5634720254635,0.0026851706576519314
0.5666199138739106,0.0027053800562898754
0.5697678022843212,0.0027256579200269624
0.5729156906947318,0.0027460036764756714
0.5760635791051425,0.0027664167157485605
0.5792114675155531,0.0027868963893873393
0.5823593559259637,0.0028074420092658627
0.5855072443363742,0.0028280528464665463
0.5886551327467849,0.002848728130129681
0.5918030211571955,0.002869467046275127
0.5949509095676061,0.0028902687365958643
0.5980987979780168,0.0029111322972228642
0.6012466863884274,0.0029320567774607786
0.604394574798838,0.002953041178493868
0.6075424632092487,0.002974084452061693
0.6106903516196592,0.0029951854991039756
0.6138382400300698,0.0030163431683741504
0.6169861284404804,0.00303755625502102
0.6201340168508911,0.00305882349913803
0.6232819052613017,0.0030801435842795857
0.6264297936717123,0.0031015151359439215
0.629577682082123,0.0031229367200219737
0.6327255704925335,0.003144406841211732
0.6358734589029441,0.0031659239413975807
0.6390213473133547,0.003187486397994094
0.6421692357237654,0.003209092522253803
0.645317124134176,0.003230740557538418
0.6484650125445865,0.0032524286775530696
0.6516129009549972,0.003274154984543055
0.6547607893654078,0.003295917507452648
0.6579086777758184,0.003317714200045545
0.6610565661862291,0.0033395429389865136
0.6642044545966397,0.003361401521883834
0.6673523430070503,0.0033832876652921612
0.6705002314174608,0.0034051990026754335
0.6736481198278715,0.003427133082329503
0.6767960082382821,0.003449087365264158
0.6799438966486927,0.0034710592230443042
0.6830917850591034,0.0034930459355899906
0.686239673469514,0.0035150446889351252
0.6893875618799246,0.003537052572944681
0.6925354502903351,0.0035590665789902607
0.6956833387007458,0.0035810835975839347
0.6988312271111564,0.0036031004159703204
0.701979115521567,0.0036251137156768946
0.7051270039319777,0.003647120070022631
0.7082748923423883,0.003669115941585063
0.7114227807527989,0.0036910976796259857
0.7145706691632095,0.0037130615174760413
0.7177185575736201,0.0037350035698785243
0.7208664459840307,0.0037569198302928224
0.7240143343944413,0.0037788061681579646
0.727162222804852,0.003800658326116908
0.7303101112152626,0.0038224719172021767
0.7334579996256732,0.0038442424219836857
0.7366058880360838,0.0038659651856796135
0.7397537764464944,0.003887635415231317
0.742901664856905,0.003909248176343447
0.7460495532673156,0.00393079839049046
0.7491974416777263,0.003952280831890982
0.7523453300881369,0.0039736901244514945
0.7554932184985474,0.003995020738681096
0.7586411069089581,0.004016266988579128
0.7617889953193687,0.0040374230284977355
0.7649368837297793,0.004058482849981546
0.7680847721401899,0.004079440278586893
0.7712326605506006,0.004100288970683144
0.7743805489610112,0.004121022410238997
0.7775284373714217,0.004141633905596772
0.7806763257818324,0.00416211658623798
0.783824214192243,0.004182463399543713
0.7869721026026536,0.004202667107553676
0.7901199910130643,0.004222720283727915
0.7932678794234749,0.004242615309715644
0.7964157678338855,0.004262344372135846
0.799563656244296,0.004281899459374709
0.8027115446547067,0.004301272358405158
0.8058594330651173,0.004320454651634324
0.8090073214755279,0.004339437713784946
0.8121552098859386,0.004358212708817256
0.8153030982963492,0.004376770586898223
0.8184509867067598,0.0043951020814255335
0.8215988751171703,0.004413197706114043
0.824746763527581,0.004431047752153056
0.8278946519379916,0.004448642285443129
0.8310425403484022,0.004465971143921742
0.8341904287588129,0.004483023934987655
0.8373383171692235,0.004499790033034348
0.840486205579634,0.004516258577103579
0.8436340939900447,0.004532418468670611
0.8467819824004553,0.004548258369573436
0.8499298708108659,0.004563766700098895
0.8530777592212765,0.004578931637239309
0.8562256476316872,0.004593741113133991
0.8593735360420978,0.004608182813710739
0.8625214244525083,0.004622244177543201
