wvls,l_star,g
598.0,17326.643668953053,-0.2696948638255116
599.0,17245.6441312968,-0.27572240558327327
600.0,17166.935326125902,-0.2816942461271616
601.0,17090.800586755817,-0.28760304748090687
602.0,17017.51058591504,-0.29344132787273863
603.0,16947.368606226315,-0.2992014661403906
604.0,16880.659280553045,-0.3048757076287992
605.0,16817.67321932362,-0.31045617198527936
606.0,16758.70577562189,-0.3159348632470507
607.0,16704.077665602177,-0.321303682516252
608.0,16654.078918979845,-0.32655444384603555
609.0,16609.031311854487,-0.3316788936715924
610.0,16569.243326038806,-0.33666873416269083
611.0,16535.045086515147,-0.34151565120141053
612.0,16506.75959174101,-0.34621134713461527
613.0,16484.70649233169,-0.3507475789103962
614.0,16469.2220491253,-0.3551162016777711
615.0,16460.626680364778,-0.35930921832027346
616.0,16459.253246864802,-0.3633188345855297
617.0,16465.434208572522,-0.36713752013471473
618.0,16479.48436567448,-0.3707580747731194
619.0,16501.728375273855,-0.3741736994053931
620.0,16532.463385750303,-0.37737807082816305
621.0,16572.003503449363,-0.38036541919383093
622.0,16620.637780573248,-0.3831306065150508
623.0,16678.615789513064,-0.3856692045178484
624.0,16746.210993771634,-0.3879775698132259
625.0,16823.647141249443,-0.3900529140227154
626.0,16911.128833958,-0.39189336655695006
627.0,17008.83551014248,-0.3934980277726118
628.0,17116.926845022208,-0.39486701001254226
629.0,17235.510154672356,-0.3960014647226201
630.0,17364.687251563602,-0.3969035939223208
631.0,17504.494537172824,-0.3975766448272048
632.0,17654.95570515718,-0.39802488711418593
633.0,17816.047450667877,-0.3982535728919169
634.0,17987.71976597279,-0.39826888015716255
635.0,18169.889604173324,-0.3980778409227355
636.0,18362.419189469194,-0.3976882563757783
637.0,18565.16393231592,-0.39710860101732476
638.0,18777.942381892655,-0.3963479189568812
639.0,19000.54355550581,-0.3954157150208176
640.0,19232.73839026795,-0.3943218439334656
641.0,19474.274226476726,-0.3930764000470968
642.0,19724.879249753212,-0.3916896107653314
643.0,19984.283454373042,-0.39017173536759453
644.0,20252.185240421284,-0.3885329715754943
645.0,20528.283046140907,-0.3867833710183058
646.0,20812.28798971089,-0.3849327646470772
647.0,21103.887279661667,-0.38299069851511464
648.0,21402.77936990307,-0.38096638047380094
649.0,21708.66399806394,-0.3788686368832993
650.0,22021.243367469728,-0.37670587958779006
651.0,22340.243599382156,-0.37448608200057554
652.0,22665.37652760008,-0.3722167637624692
653.0,22996.368633247886,-0.36990498273406747
654.0,23332.97818856441,-0.36755733377438327
